TimePeriod,GeoType,GeoID,GeoRank,Geography,Nitric Oxide Mean ppb,PM2.5 Mean mcg/m3,Black Carbon Mean absorbance units,Nitrogen Dioxide Mean ppb
Summer 2019,UHF42,204,4,East New York,5.4,8,0.8,12
Summer 2019,UHF42,205,4,Sunset Park,9.4,8.9,1,16.2
Summer 2019,UHF42,206,4,Borough Park,5.7,7.9,0.8,13.6
Summer 2019,UHF42,207,4,East Flatbush - Flatbush,5.4,7.9,0.8,12.8
Summer 2019,UHF42,208,4,Canarsie - Flatlands,4.8,7.7,0.6,9.2
Summer 2019,UHF42,209,4,Bensonhurst - Bay Ridge,5.9,7.8,0.7,13
Summer 2019,UHF42,210,4,Coney Island - Sheepshead Bay,4.9,7.6,0.6,10
Summer 2019,UHF42,211,4,Williamsburg - Bushwick,8,9,1,16.7
Summer 2019,UHF42,301,4,Washington Heights,8.3,8.2,0.9,14
Summer 2019,UHF42,302,4,Central Harlem - Morningside Heights,7,8.2,0.9,16.8
Summer 2019,UHF42,303,4,East Harlem,7.3,8.3,0.9,16.7
Summer 2019,UHF42,304,4,Upper West Side,8.2,8.6,0.9,18.8
Summer 2019,UHF42,305,4,Upper East Side,9,9.1,1,20.1
Summer 2019,UHF42,306,4,Chelsea - Clinton,10.6,11.2,1.4,24.9
Summer 2019,UHF42,307,4,Gramercy Park - Murray Hill,9.8,11.1,1.4,24.8
Summer 2019,UHF42,308,4,Greenwich Village - SoHo,10.3,10.8,1.4,22.6
Summer 2019,UHF42,309,4,Union Square - Lower East Side,8.9,10.1,1.2,20.3
Summer 2019,UHF42,310,4,Lower Manhattan,10,9.5,1.2,23.1
Summer 2019,UHF42,401,4,Long Island City - Astoria,8,9.3,1.1,17.7
Summer 2019,UHF42,402,4,West Queens,7.1,8.6,1,15.6
Summer 2019,UHF42,403,4,Flushing - Clearview,6.9,7.8,0.8,13.6
Summer 2019,UHF42,404,4,Bayside - Little Neck,8.2,7.3,0.7,12.5
Summer 2019,UHF42,405,4,Ridgewood - Forest Hills,5.3,7.9,0.8,12.8
Summer 2019,UHF42,406,4,Fresh Meadows,6.5,7.3,0.7,12.6
Summer 2019,UHF42,407,4,Southwest Queens,5.3,7.5,0.7,11.7
Summer 2019,UHF42,408,4,Jamaica,7.2,7.5,0.7,13
Summer 2019,UHF42,409,4,Southeast Queens,8.3,7.2,0.6,13
Summer 2019,UHF42,410,4,Rockaways,5,7,0.4,7.3
Summer 2019,UHF42,501,4,Port Richmond,5,7.8,0.8,14.3
Summer 2019,UHF42,502,4,Stapleton - St. George,5.3,7.4,0.7,11.4
Summer 2019,UHF42,503,4,Willowbrook,4.1,7.4,0.7,10.4
Summer 2019,UHF42,504,4,South Beach - Tottenville,3.5,7.2,0.5,7.8
Winter 2018-19,UHF42,101,4,Kingsbridge - Riverdale,16,7.2,0.6,18.3
Winter 2018-19,UHF42,102,4,Northeast Bronx,16.3,7.2,0.6,19.1
Winter 2018-19,UHF42,103,4,Fordham - Bronx Pk,17.3,7.2,0.6,19.9
Winter 2018-19,UHF42,104,4,Pelham - Throgs Neck,17.5,7.3,0.6,20.4
Winter 2018-19,UHF42,105,4,Crotona -Tremont,19.7,7.9,0.7,22.6
Winter 2018-19,UHF42,106,4,High Bridge - Morrisania,20.3,7.8,0.7,23.9
Winter 2018-19,UHF42,107,4,Hunts Point - Mott Haven,24.6,8,0.8,24.2
Winter 2018-19,UHF42,201,4,Greenpoint,31.5,9.2,0.9,26.7
Winter 2018-19,UHF42,202,4,Downtown - Heights - Slope,21.9,8.2,0.7,24.8
Winter 2018-19,UHF42,203,4,Bedford Stuyvesant - Crown Heights,19,7.2,0.6,23.2
Winter 2018-19,UHF42,204,4,East New York,18.7,7.2,0.6,21.6
Winter 2018-19,UHF42,205,4,Sunset Park,21.2,8,0.7,23.3
Winter 2018-19,UHF42,206,4,Borough Park,15.3,6.9,0.5,21.8
Winter 2018-19,UHF42,207,4,East Flatbush - Flatbush,16.3,6.9,0.5,21.7
Winter 2018-19,UHF42,208,4,Canarsie - Flatlands,15.9,6.7,0.4,18.7
Winter 2018-19,UHF42,209,4,Bensonhurst - Bay Ridge,14.2,6.8,0.5,20.5
Winter 2018-19,UHF42,210,4,Coney Island - Sheepshead Bay,13.8,6.7,0.4,18.5
Winter 2018-19,UHF42,211,4,Williamsburg - Bushwick,26.3,8.1,0.7,25.2
Winter 2018-19,UHF42,301,4,Washington Heights,19.5,7.8,0.7,22.2
Winter 2018-19,UHF42,302,4,Central Harlem - Morningside Heights,20.4,7.6,0.7,24.7
Winter 2018-19,UHF42,303,4,East Harlem,20.6,7.8,0.7,24.4
Winter 2018-19,UHF42,304,4,Upper West Side,21.2,8.2,0.7,25.2
Winter 2018-19,UHF42,305,4,Upper East Side,23.4,9,0.8,26.5
Winter 2018-19,UHF42,306,4,Chelsea - Clinton,24.2,11.8,1,29.5
Winter 2018-19,UHF42,307,4,Gramercy Park - Murray Hill,23.2,11.7,1,29.7
Winter 2018-19,UHF42,308,4,Greenwich Village - SoHo,22.8,11,1,27.5
Winter 2018-19,UHF42,309,4,Union Square - Lower East Side,21.4,10.1,0.9,25.9
Winter 2018-19,UHF42,310,4,Lower Manhattan,21.7,9.3,0.8,27.7
Winter 2018-19,UHF42,401,4,Long Island City - Astoria,25.7,8.6,0.8,25.7
Winter 2018-19,UHF42,402,4,West Queens,23.3,8,0.8,24.4
Winter 2018-19,UHF42,403,4,Flushing - Clearview,18.4,7.2,0.6,21.2
Winter 2018-19,UHF42,404,4,Bayside - Little Neck,16.3,6.9,0.5,18.2
Winter 2018-19,UHF42,405,4,Ridgewood - Forest Hills,18.4,7.2,0.6,22
Winter 2018-19,UHF42,406,4,Fresh Meadows,16.7,6.8,0.5,20.3
Winter 2018-19,UHF42,407,4,Southwest Queens,16.3,6.9,0.5,20.4
Winter 2018-19,UHF42,408,4,Jamaica,17.1,6.9,0.5,19.9
Winter 2018-19,UHF42,409,4,Southeast Queens,16,6.7,0.4,18
Winter 2018-19,UHF42,410,4,Rockaways,13.1,6.3,0.3,13.9
Winter 2018-19,UHF42,501,4,Port Richmond,13.4,6.9,0.6,20.1
Winter 2018-19,UHF42,502,4,Stapleton - St. George,12.7,6.4,0.5,17.8
Winter 2018-19,UHF42,503,4,Willowbrook,11.4,6.5,0.5,16.6
Winter 2018-19,UHF42,504,4,South Beach - Tottenville,10.6,6.4,0.4,14.2
Summer 2018,UHF42,101,4,Kingsbridge - Riverdale,6.2,8.2,0.8,11.7
Summer 2018,UHF42,102,4,Northeast Bronx,6.3,8.3,0.9,13
Summer 2018,UHF42,103,4,Fordham - Bronx Pk,7,8.6,0.9,13.3
Summer 2018,UHF42,104,4,Pelham - Throgs Neck,7,8.4,0.8,12.8
Summer 2018,UHF42,105,4,Crotona -Tremont,7.7,8.9,0.9,15.2
Summer 2018,UHF42,106,4,High Bridge - Morrisania,7.8,9.1,1,15.8
Summer 2018,UHF42,107,4,Hunts Point - Mott Haven,7.2,9.2,1,15.2
Summer 2018,UHF42,201,4,Greenpoint,9.2,9.8,1.1,17.5
Summer 2018,UHF42,202,4,Downtown - Heights - Slope,8.9,8.9,1,16.4
Summer 2018,UHF42,203,4,Bedford Stuyvesant - Crown Heights,7.9,8.5,0.8,14
Summer 2018,UHF42,204,4,East New York,6.8,8.4,0.8,12
Summer 2018,UHF42,205,4,Sunset Park,7.3,8.8,0.9,14.4
Summer 2018,UHF42,206,4,Borough Park,6.6,8.2,0.7,12.6
Summer 2018,UHF42,207,4,East Flatbush - Flatbush,7.3,8.3,0.7,12.3
Summer 2018,UHF42,208,4,Canarsie - Flatlands,6.1,8,0.6,9
Summer 2018,UHF42,209,4,Bensonhurst - Bay Ridge,5.8,7.8,0.7,11.5
Summer 2018,UHF42,210,4,Coney Island - Sheepshead Bay,5.6,7.9,0.6,9.1
Summer 2018,UHF42,211,4,Williamsburg - Bushwick,8.2,9.3,1,15.8
Summer 2018,UHF42,301,4,Washington Heights,9,8.6,0.9,15
Summer 2018,UHF42,302,4,Central Harlem - Morningside Heights,8.5,8.9,0.9,16.9
Summer 2018,UHF42,303,4,East Harlem,9,8.7,0.9,16.4
Summer 2018,UHF42,304,4,Upper West Side,12,9.5,1,18.4
Summer 2018,UHF42,305,4,Upper East Side,14.3,10,1,19.9
Summer 2018,UHF42,306,4,Chelsea - Clinton,14.5,11.2,1.5,24.8
Summer 2018,UHF42,307,4,Gramercy Park - Murray Hill,13.4,11.6,1.5,26.1
Summer 2018,UHF42,308,4,Greenwich Village - SoHo,17.5,9.9,1.3,21.5
Summer 2018,UHF42,309,4,Union Square - Lower East Side,13,9.3,1.2,19.4
Summer 2018,UHF42,310,4,Lower Manhattan,10.6,10.1,1.3,21.8
Summer 2018,UHF42,401,4,Long Island City - Astoria,7.8,9.4,1.1,16.4
Summer 2018,UHF42,402,4,West Queens,7.3,8.9,0.9,14.9
Summer 2018,UHF42,403,4,Flushing - Clearview,6.4,8.3,0.8,12.9
Summer 2018,UHF42,404,4,Bayside - Little Neck,6.3,8,0.8,11.7
Summer 2018,UHF42,405,4,Ridgewood - Forest Hills,7,8.3,0.8,12.5
Summer 2018,UHF42,406,4,Fresh Meadows,6.4,8,0.7,12.4
Summer 2018,UHF42,407,4,Southwest Queens,6.4,8,0.7,11.8
Summer 2018,UHF42,408,4,Jamaica,6.3,8.2,0.8,12.8
Summer 2018,UHF42,409,4,Southeast Queens,6,8,0.7,12.2
Summer 2018,UHF42,410,4,Rockaways,5.3,7.8,0.4,6.7
Summer 2018,UHF42,501,4,Port Richmond,4.2,7.8,0.7,12.3
Summer 2018,UHF42,502,4,Stapleton - St. George,4.7,7.5,0.6,9.3
Summer 2018,UHF42,503,4,Willowbrook,3.7,7.7,0.6,9.1
Summer 2018,UHF42,504,4,South Beach - Tottenville,3,7.3,0.6,6.3
Winter 2017-18,UHF42,101,4,Kingsbridge - Riverdale,17.9,8,0.8,21.3
Winter 2017-18,UHF42,102,4,Northeast Bronx,17.4,8.1,0.8,21.3
